ID,ra,dec,sector,camera,ccd,result
266966667,2.62186808769802,-76.8297961224954,1,3,2,false
183116784,17.5076133427182,-75.3058272748329,1,3,3,false
266903530,0.706357821104229,-76.6054320609646,1,3,2,false
266878145,0.408941691667197,-76.2305247031205,1,3,2,false
266903338,0.807768308500962,-76.0224953009895,1,3,2,false
266966946,2.824137925136,-75.9670735710409,1,3,2,false
266880925,0.826936712018083,-75.555842216064,1,3,2,false
267209926,6.2750224222043,-74.2858224400977,1,3,2,false
303953378,23.7947109685663,-73.9259642683631,1,3,3,false
303911034,22.9404732723947,-73.3261700573979,1,3,3,false
24751264,26.2557073753426,-71.9324905624045,1,3,4,false
183307030,17.3217397257732,-72.2117327041055,1,3,2,false
183307030,17.3217397257732,-72.2117327041055,1,3,2,false
303911833,23.3043911195299,-72.0011983123276,1,3,4,false
425998706,27.1081522166959,-70.9746924125087,1,3,4,false
266906493,1.79249179852455,-73.3076459769974,1,3,2,false
267320484,7.7677175817516,-72.0183053147009,1,3,2,false
38848147,8.84246188610518,-70.7475357011131,1,3,2,false
39016736,11.7952597440453,-70.0006332964375,1,3,1,false
52256030,20.7681334513561,-69.3118396550913,1,3,1,false
51938591,14.860163004132,-70.4117513849584,1,3,1,false
52019395,16.06399603715,-70.0721590059724,1,3,1,false
52194549,18.9949096947304,-69.1347588327597,1,3,1,false
52122764,17.9038503905435,-69.2236119459891,1,3,1,false
51991432,15.3545486024337,-69.2017926603267,1,3,1,false
52307802,21.7207187338189,-68.6342641585913,1,3,1,false
52308707,22.1311908351509,-66.6111418036983,1,3,1,false
234333005,36.2249263490501,-69.7814588940057,1,3,4,false
234333005,36.2249263490501,-69.7814588940057,1,3,4,false
234306744,35.0829399266838,-68.9170499790504,1,3,4,false
232075203,28.8046279037096,-70.4337897226361,1,3,4,false
232073225,28.5474299873218,-69.6972396441441,1,3,4,false
273853024,31.3649427299738,-69.2471552499458,1,3,4,false
232065974,26.6653888395977,-69.7249400700626,1,3,4,false
232073492,28.3539301507375,-68.5562866524683,1,3,4,false
234337419,37.2044238861679,-68.031143448561,1,3,4,false
260001111,44.1087075579044,-66.5932496810158,1,3,4,false
260001009,44.1822989841725,-66.180975148077,1,3,4,false
259975137,43.6091361462481,-65.9086429125177,1,3,4,false
259902632,41.7724865481344,-66.4539563315117,1,3,4,false
259861569,39.7957896132115,-66.583810364636,1,3,4,false
220523369,42.5926506633157,-65.7653561463153,1,3,4,false
220526092,42.6761119427756,-65.4931655329572,1,3,4,false
382633618,39.5441875195266,-63.9932962320345,1,3,4,false
382635553,39.8723288351357,-63.7011927939987,1,3,4,false
232070595,27.7388394296039,-68.5417538071783,1,3,4,false
232077453,29.4441545258998,-67.6335791869204,1,3,4,false
232074363,28.6630912050853,-66.9118358002792,1,3,4,false
232071441,28.1322163327215,-66.8657682583192,1,3,4,false
232071399,28.0127909875595,-66.6727581868834,1,3,4,false
273864083,31.8468840963039,-66.5698605542667,1,3,4,false
232083054,30.0830868109746,-66.233856015736,1,3,4,false
273854887,31.3980564298053,-65.9906998572643,1,3,4,false
355788712,29.5780718718513,-65.2180862010776,1,3,4,false
302923645,34.9856839829052,-65.3121461682458,1,3,4,false
382581300,36.0456589753374,-64.5505430575568,1,3,4,false
279835138,35.3481407054702,-64.3132701067173,1,3,4,false
279835119,35.2227320884177,-64.210825196231,1,3,4,false
358577029,38.5357157673919,-63.3899346035573,1,3,4,false
369707376,32.8252094315931,-63.2280361590393,1,3,4,false
369705926,32.6831937694389,-62.8749891832843,1,3,4,false
237313736,343.91754452476,-61.428104885853,1,2,1,false
318570817,332.583688116379,-70.1689155017295,1,3,2,false
327710327,331.03231882554,-69.9278101186791,1,2,1,false
327710325,331.024239139219,-69.924954773271,1,2,1,false
389086938,333.242804427542,-69.1198986284067,1,2,1,false
318568036,332.392266610795,-68.9337930916629,1,2,1,false
327670014,329.956568148743,-69.1523046427416,1,2,1,false
278658834,328.395004092446,-69.3735889166879,1,2,1,
410086688,327.069114668271,-68.8413969008835,1,2,1,false
234288627,336.09562385103,-65.9766987737103,1,2,1,false
234282087,335.404205582431,-65.7916310108496,1,2,1,false
278661431,328.815581260819,-66.0907241661764,1,2,1,false
403237836,330.727096988321,-64.6789498399401,1,2,1,false
406276109,325.646795975283,-64.2158233911677,1,2,1,false
238813286,327.302555339992,-63.9022413702009,1,2,1,false
406321123,327.612991996247,-63.681621151469,1,2,1,false
238813498,327.357973534558,-63.1144198812461,1,2,1,false
265527387,322.333783302979,-63.9440445669145,1,2,1,false
403121771,324.481941382658,-63.7119217947215,1,2,1,false
259783240,323.515783457669,-63.1851864870779,1,2,1,
259785387,323.717464937559,-63.0189567799678,1,2,1,false
259844255,323.835423154063,-62.3982159839844,1,2,1,false
259844567,323.912104703856,-61.574369062323,1,2,1,false
259845346,324.286846328963,-60.6015363832828,1,2,1,false
232057714,338.733886255983,-64.9848923780721,1,2,1,false
234282159,335.428816122016,-65.5258279720534,1,2,1,false
394522031,335.01866704422,-65.5044939125023,1,2,1,false
232057757,338.644413393014,-64.7731007035951,1,2,1,false
234284556,335.665360574973,-63.0571746330463,1,2,1,false
389051009,333.460271196529,-63.7027804847492,1,2,1,false
403265213,330.932560003899,-63.4592887955931,1,2,1,false
394521251,334.896369326595,-63.3472798040205,1,2,1,false
389047862,332.768273935325,-61.7040803019885,1,2,1,false
232064182,340.434880796718,-61.3253154159518,1,2,1,false
394580226,338.177802288474,-60.2759610431384,1,2,1,false
403220892,338.387165425715,-58.9704162324762,1,2,1,false
406344319,328.266941282288,-61.3698293098979,1,2,1,false
403287763,332.351300528606,-60.397748797472,1,2,1,false
277716959,329.883721814164,-60.9329723795035,1,2,1,false
403236288,330.796605787548,-60.0481771998419,1,2,1,false
394015919,329.894595036351,-59.7528153961944,1,2,1,false
406277015,326.125511669819,-60.9774708263446,1,2,1,false
231702438,333.091804850622,-59.0972366532747,1,2,1,false
231702397,332.947082555841,-58.9450697244304,1,2,1,false
403135633,333.697090932673,-58.0134862492014,1,2,1,
403135705,333.662415136426,-57.7923766251277,1,2,1,false
229804894,329.721619299419,-57.9342961374198,1,2,1,false
219324843,331.471697722566,-55.6494251075796,1,2,4,false
267000874,3.94750684324622,-76.7927256528276,1,3,2,false
267090875,5.37973405277724,-76.2961798247928,1,3,2,false
267183129,6.0463089119284,-75.9779632529553,1,3,2,false
267211916,6.8734588938954,-75.785759612249,1,3,2,false
267549660,10.4508987727104,-76.001971597944,1,3,2,false
267490601,9.93010847230023,-75.3970038007058,1,3,2,false
267490629,10.0509161434439,-75.3254264258658,1,3,2,false
180791664,12.2037901077496,-75.1519901945928,1,3,2,false
267183344,5.88748252716049,-75.3621716444175,1,3,2,false
267323361,7.98963326522528,-74.9567163368393,1,3,2,false
